                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3397,                0.97243,                 1.4671,                0.89664,                0.78734,                0.87409,                0.46434,                 1.7018,                0.93372,                 1.8622,             0.00045569,             0.00045569,             0.00045569
                     35,                 1.3267,                0.94712,                 1.4592,                0.89803,                0.79819,                0.89711,                0.48681,                  1.705,                0.83868,                 1.8837,             0.00044909,             0.00044909,             0.00044909
                     36,                 1.3131,                0.94214,                 1.4433,                0.86267,                0.80479,                0.86781,                0.47562,                 1.6977,                0.89516,                 1.9016,             0.00044249,             0.00044249,             0.00044249
                     37,                  1.298,                0.95255,                 1.4491,                 0.8366,                0.83309,                 0.8868,                0.48128,                 1.7222,                 0.8985,                 1.8966,             0.00043588,             0.00043588,             0.00043588
                     38,                 1.2663,                0.92739,                 1.4263,                 0.8207,                0.84217,                 0.8703,                0.46079,                 1.7417,                0.93359,                 1.9124,             0.00042928,             0.00042928,             0.00042928
                     39,                 1.2683,                0.90764,                 1.4163,                0.85695,                0.83678,                0.87631,                0.47684,                 1.7379,                0.88251,                 1.9315,             0.00042268,             0.00042268,             0.00042268
                     40,                 1.2746,                0.90457,                 1.4166,                0.80123,                0.84609,                 0.8674,                0.47034,                 1.7551,                0.88353,                  1.941,             0.00041607,             0.00041607,             0.00041607
                     41,                 1.2645,                0.90718,                 1.4217,                  0.876,                0.84276,                0.89794,                0.47651,                 1.7458,                0.90079,                  1.923,             0.00040947,             0.00040947,             0.00040947
                     42,                 1.2469,                0.88813,                 1.4201,                0.88817,                0.81063,                0.88483,                 0.4716,                 1.7232,                0.88268,                 1.9123,             0.00040287,             0.00040287,             0.00040287
                     43,                 1.2343,                0.87594,                 1.3972,                0.87902,                0.81734,                0.87403,                 0.4714,                 1.7572,                0.85636,                 1.9618,             0.00039626,             0.00039626,             0.00039626
                     44,                 1.2129,                0.86177,                 1.3871,                 0.8824,                0.84533,                0.89068,                0.48356,                 1.7066,                0.80867,                 1.9123,             0.00038966,             0.00038966,             0.00038966
                     45,                 1.1857,                0.84234,                 1.3611,                0.85982,                0.82005,                0.88459,                0.47566,                 1.7315,                 0.8535,                 1.9379,             0.00038306,             0.00038306,             0.00038306
                     46,                 1.1971,                0.86192,                 1.3817,                0.87243,                0.84179,                0.90239,                0.48246,                 1.7195,                0.86851,                 1.9302,             0.00037645,             0.00037645,             0.00037645
                     47,                 1.1665,                0.81061,                 1.3493,                0.84016,                0.81765,                0.86207,                0.47022,                 1.7397,                0.89345,                 1.9606,             0.00036985,             0.00036985,             0.00036985
                     48,                 1.1671,                0.80433,                 1.3565,                0.88358,                 0.8317,                0.88349,                0.46643,                 1.7683,                0.81629,                 2.0046,             0.00036325,             0.00036325,             0.00036325
                     49,                 1.1635,                0.80404,                 1.3486,                0.82501,                0.80773,                0.86933,                 0.4607,                 1.7723,                0.87891,                 2.0263,             0.00035664,             0.00035664,             0.00035664
                     50,                 1.1476,                0.80899,                 1.3524,                0.90319,                0.82011,                0.87584,                0.47427,                 1.7661,                0.83191,                 1.9735,             0.00035004,             0.00035004,             0.00035004
                     51,                 1.1391,                0.79325,                 1.3381,                0.89043,                0.84909,                0.88749,                0.46716,                 1.7847,                 0.8709,                 1.9992,             0.00034344,             0.00034344,             0.00034344
                     52,                   1.11,                0.78232,                 1.3281,                 0.8517,                0.85323,                0.89219,                0.47046,                 1.7844,                 0.8153,                  2.024,             0.00033683,             0.00033683,             0.00033683
                     53,                 1.1318,                0.79472,                 1.3364,                0.85003,                0.81219,                0.85796,                 0.4657,                 1.7611,                0.82525,                 2.0142,             0.00033023,             0.00033023,             0.00033023
                     54,                 1.0742,                0.76893,                 1.2996,                 0.8475,                0.84161,                0.86621,                0.46594,                 1.7651,                0.87579,                 2.0091,             0.00032363,             0.00032363,             0.00032363
                     55,                 1.0998,                0.77197,                 1.3079,                0.87822,                0.83571,                0.87771,                0.46879,                 1.7665,                0.80895,                 2.0191,             0.00031703,             0.00031703,             0.00031703
                     56,                 1.0871,                0.76836,                  1.311,                0.86607,                0.81591,                0.86009,                0.47507,                 1.7317,                0.83939,                 1.9897,             0.00031042,             0.00031042,             0.00031042
                     57,                 1.0562,                0.74481,                 1.2873,                0.82295,                0.78927,                0.84488,                0.44944,                 1.7833,                0.95264,                 2.0469,             0.00030382,             0.00030382,             0.00030382
                     58,                 1.0505,                0.73775,                 1.2812,                0.85124,                0.82571,                0.87327,                0.46926,                   1.73,                0.82509,                 2.0308,             0.00029722,             0.00029722,             0.00029722
